CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,id_estab
16-01-0026-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-98 ZONA 3,5710-1061,PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPIÑA ESPAÑA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,60f1b8d4a9f5
16-01-0135-45,16-005,ALTA VERAPAZ,COBAN,INEB ADSCRITO A INSTITUTO 'EMILIO ROSALES PONCE',3A AVE 6-23 ZONA 11,7952-9782,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,BASICO,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,70bfe7c78a59
16-01-0136-45,16-005,ALTA VERAPAZ,COBAN,INEB,6A AVE 1-15 ZONA 4,7951-3568,NORA LILIANA FIGUEROA HERNÁNDEZ,WUENDY LUCRECIA ESTRADA BEDOYA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,cb3261633986
16-01-0138-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,"KM.2 SALIDA A SAN JUAN CHAMELCO, ZONA 8",7794-5104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,849dd8f4db1b
16-01-0139-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,7736-7402,PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,c5c95c1878d6
16-01-0140-45,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,7823-2301,PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,80a75d508d88
16-01-0146-45,16-003,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA SAMOX SAN LUCAS,3183-6449,JOSE ARTURO CHOC CHEN,DEBORA ESMERALDA NATARENO FLORES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,4a79ea345cfa
16-01-0148-45,16-003,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA CAMCAL,4534-1151,JOSE ARTURO CHOC CHEN,DOMINGO TOT COY,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,10c32d0579af
16-01-0154-45,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,7952-2555,PATRICIO NAJARRO ASENCIO,HÉCTOR ARMANDO TEYUL CHEN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,96fc61415c2b
16-01-0391-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,"2A. CALLE 12-23, ZONA 4",7951-1459,PATRICIO NAJARRO ASENCIO,JORGE SALVADOR JUÁREZ SIERRA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,a6c885218eb0
16-01-0395-45,16-035,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,COMUNIDAD NIMLASACHAL,3342-3152,MARBIN ARIEL CHOC CAAL,SALOMON TENI,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,d6b07fcd5070
16-01-0397-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA MONTE OLIVO,NO DISPONIBLE,FELIPE CHO TUT,JOSE MAAZ CHOC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,7fb1c4649eb9
16-01-0398-45,16-005,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,COMUNIDAD CHIRRETZAAJ,4894-7997,NORA LILIANA FIGUEROA HERNÁNDEZ,HENRY WILSON REYES LUNA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,f6f23ec42659
16-01-0400-45,16-004,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA RIO TZETOC,5716-2409,AQUILES GIOVANI BAC GUEVARA,JOSÉ ALEJANDRO YALIBAT FLORES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,f9bf3f22ff46
16-01-0402-45,16-002,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SAN PABLO XUCANEB,5202-7454,MOISES ADRIAN LOPEZ PEREZ,ARMANDO POP ICÓ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,557f53d68374
16-01-0403-45,16-004,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SAN JOSE ICBOLAY,4041-8805,AQUILES GIOVANI BAC GUEVARA,EDUARDO YAT CÚ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,dd08a284c8bb
16-01-0404-45,16-004,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SAHOLOM,4539-8450,AQUILES GIOVANI BAC GUEVARA,RUDY ELEODORO MAX XOL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,9585f9b2ee1c
16-01-0405-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,"COMUNIDAD LA SULTANA,",4907-3880,FELIPE CHO TUT,NAYIVELIN ALEJANDRA FIGUEROA REY,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,6aa92d465b07
16-01-0407-45,16-005,ALTA VERAPAZ,COBAN,INEB,ALDEA SIGUANHA,5066-3807,NORA LILIANA FIGUEROA HERNÁNDEZ,SILVIA ESTELA ORTÍZ PINEDA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,f8e09d9e3e42
16-01-0409-45,16-005,ALTA VERAPAZ,COBAN,INEB,EL ESFUERZO I,5468-8257,NORA LILIANA FIGUEROA HERNÁNDEZ,REINA VIRGINIA BELTETON SANCHEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,e3c92847ab8e
16-01-0410-45,16-005,ALTA VERAPAZ,COBAN,INEB,CASERIO CHOVAL,5333-1646,NORA LILIANA FIGUEROA HERNÁNDEZ,AMILCAR ESAU CHAVEZ CHEN,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1d33d758408a
16-01-0411-45,16-005,ALTA VERAPAZ,COBAN,INEB,COMUNIDAD SAN JOSE LA COLONIA,4575-8957,NORA LILIANA FIGUEROA HERNÁNDEZ,SINDY SUSELL ROSALES DE LA CRUZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,f1f63e4d7d6a
16-01-0413-45,16-003,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA NUEVO AQUIL,3059-0733,JOSE ARTURO CHOC CHEN,GILDA ADRIANA LUCAS GUERRA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,e7857c7d558d
16-01-0415-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SANTA VALERIA,4640-1935,FELIPE CHO TUT,RODERICO TIUL SACUL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,792aeadfeaf1
16-01-0419-45,16-002,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA COOPERATIVA SAMAC,5388-5240,MOISES ADRIAN LOPEZ PEREZ,INGRID LUCRECIA MURILLO CORADO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,49abcf4354ad
16-01-0422-45,16-002,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA LAS CRUCES,5042-4951,MOISES ADRIAN LOPEZ PEREZ,ZOILA ESPERANZA AC SAGÜÍ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,6f968bebda86
16-01-0424-45,16-037,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,PARCELAMIENTO SALAGUNA GRANDE,NO DISPONIBLE,CESAR RIGOBERTO CUC CAAL,TOMAS SACUL CAAL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,2a0e9cc36a00
16-01-0425-45,16-037,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,COMUNIDAD ROCJA PASACUC,5150-5255,CESAR RIGOBERTO CUC CAAL,ALFONSO ICO CHOC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,4cc76144efb5
16-01-0426-45,16-047,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SAN ISIDRO CHOVAL,4060-2383,ERNESTO CAAL CHOC,VICTORIANO CHEN,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,e003d1caa127
16-01-0427-45,16-037,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA IXLOC,4638-1920,CESAR RIGOBERTO CUC CAAL,GUILLERMO PÉREZ FELIPE,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,dd02795b53c2
16-01-0452-45,16-003,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA CERRO LINDO,NO DISPONIBLE,JOSE ARTURO CHOC CHEN,ABELARDO CHOC COC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,40723e94ba7f
16-01-0453-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SACOYOU,4063-9558,FELIPE CHO TUT,ABELINO PAAÚ CHOC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,54f97cb04868
16-01-0454-45,16-003,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA CHITOCAN I,4590-2578,JOSE ARTURO CHOC CHEN,KARIN YANIRA OCH CÚ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,b35ed7de66ee
16-01-0455-45,16-005,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,LOTIFICACION GUALOM SA XYANQTZUUL,5722-1604,NORA LILIANA FIGUEROA HERNÁNDEZ,MARCIA ARACELY WINTER SAGUI,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,efda6580224a
16-01-0456-45,16-005,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA CHINIMLAJOM,4856-5085,NORA LILIANA FIGUEROA HERNÁNDEZ,BYRON ESTUARDO MARROQUIN CUZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,a5102a29fce2
16-01-0457-45,16-047,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,CASERIO UCULA,4603-1113,ERNESTO CAAL CHOC,RIGOBERTO OMAR MÉRIDA DE LA CRUZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,ba5558a94945
16-01-0458-45,16-003,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA CAMPUR,4085-1880,JOSE ARTURO CHOC CHEN,JACOBO HUMBERTO COC TIUL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,b31c48de4572
16-01-0480-45,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,7951-4754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,7fae4c949221
16-01-0482-45,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,7951-4754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,7fae4c949221
16-01-0560-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO HISPANOAMERICANO,9A. AVENIDA 2-22 ZONA 1,7773-8763,PATRICIO NAJARRO ASENCIO,OCTAVIO ISMAEL BATZ CHOC,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,3fc54ac46c86
16-01-0562-45,16-004,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,COMUNIDAD ROCAJ PONTILA POLIGONO DOS,4908-8470,AQUILES GIOVANI BAC GUEVARA,CESAR GUMERCINDO CHÉN BOTZOC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,878fa77ef4d0
16-01-0564-45,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,NO DISPONIBLE,PATRICIO NAJARRO ASENCIO,DAVID WALDEMAR URRUTIA CHOC,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,7a57061c93a6
16-01-0567-45,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1-06 ZONA 3,7951-0413,PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHÉN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,00db2e930eef
16-01-0617-45,16-003,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SONTÉ,5555-1995,JOSE ARTURO CHOC CHEN,EVELYN DEL ROSARIO POP CATÚN,BASICO,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1b6d0e0af4ce
16-01-0618-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,CASERÍO EL COROZAL,3342-3152,FELIPE CHO TUT,SALOMON TENI,BASICO,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,37fb1af0f942
16-01-0620-45,16-037,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO DE EDUCACION BASICA NUEVO AMANECER,ALDEA COPAL AA LA ESPERANZA,4998-8926,CESAR RIGOBERTO CUC CAAL,RAFAEL COY CHOCOOJ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,4e51636a31c0
16-01-0621-45,16-037,ALTA VERAPAZ,COBAN,INSTITUTO MAYA COMUNITARIO K AMOLB E,ALDEA NIMLAJACOC,3062-1374,CESAR RIGOBERTO CUC CAAL,JOSE LINO QUIB CHE,BASICO,PRIVADO,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,014333ff5cc5
16-01-0644-45,16-031,ALTA VERAPAZ,COBAN,LICEO TÉCNICO CRISTIANO NUEVA JUVENTUD,2A. CALLE 8-18 A ZONA 4,7951-4482,PATRICIO NAJARRO ASENCIO,LEONICIA ALEJANDRINA VILLALOBOS KNEYBER,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,bff40736d53b
16-01-0650-45,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,5192-2050,PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,79715e0207ec
16-01-0667-45,16-034,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,ALDEA SAN PEDRO CANAHU,7951-0018,FELIPE CHO TUT,BAYRON FREDY CHIQUIN LEP,BASICO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,a66b04892b6f
16-01-0675-45,16-031,ALTA VERAPAZ,COBAN,OXFORD BILINGUAL SCHOOL,2DA. CALLE 16-94 ZONA 4,7951-3898,PATRICIO NAJARRO ASENCIO,DARWIN ROBERTO IGLESIAS DE LA CRUZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,d7ff49b7a51c
16-01-0679-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AVENIDA 5-12 ZONA CUATRO COBAN,5274-9500,PATRICIO NAJARRO ASENCIO,SILVIA YOLANDA CAAL QUIM,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,ada9c304e745
16-01-0680-45,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11-10, ZONA 2",7952-9830,PATRICIO NAJARRO ASENCIO,AMÉRICA NUILA LUTHER,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,bc03c8807c5e
16-01-0686-45,16-031,ALTA VERAPAZ,COBAN,CENTRO EDUCATIVO PRIVADO STEPS,4TA. AVENIDA 3-39 ZONA 3,4047-5484,PATRICIO NAJARRO ASENCIO,ANA LUISA GARCIA CASTELLANOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,2b0655a389d9
16-01-0689-45,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""",1A. AV. 4-24 ZONA 2,7793-0803,PATRICIO NAJARRO ASENCIO,LUDWING JOEL NORIEGA MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,fdb98ce2bbbf
16-01-0697-45,16-004,ALTA VERAPAZ,COBAN,CENTRO EDUCATIVO BETANIA,ALDEA SAN BENITO,4218-3442,AQUILES GIOVANI BAC GUEVARA,SANDRA JULIETA PÉREZ RAMOS,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,bf93ac0e5a3b
16-01-0698-45,16-031,ALTA VERAPAZ,COBAN,LICEO MODERNO LATINO,11 AV. 5-17 ZONA 4,4094-4105,PATRICIO NAJARRO ASENCIO,CLARA LUZ ALVARADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,980f3f4b6a9b
16-01-0704-45,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,5192-2050,PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,79715e0207ec
16-01-0707-45,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""","2A. CALLE ""A"" 11-10, ZONA 1",7725-6954,PATRICIO NAJARRO ASENCIO,LUDWING JOEL NORIEGA MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,ALTA VERAPAZ,ed8cd17d52b3
16-01-0711-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO BILINGÜE BET-LUZ,"7A. CALLE 11-233, ZONA 6",4537-2823,PATRICIO NAJARRO ASENCIO,CELESTE LETICIA YAT MACZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,8730f23d249b
16-01-0908-45,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""","2A. CALLE ""A"" 11-10, ZONA 1",7725-6954,PATRICIO NAJARRO ASENCIO,LUDWING JOEL NORIEGA MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,ed8cd17d52b3
16-01-0911-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,"2A. CALLE 12-23, ZONA 4",7951-1459,PATRICIO NAJARRO ASENCIO,DANIEL BERNARDO RAMIREZ GONZÁLEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,a6c885218eb0
16-01-0914-45,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11-10, ZONA 2",7952-9830,PATRICIO NAJARRO ASENCIO,AMÉRICA NUILA LUTHER,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,bc03c8807c5e
16-01-0916-45,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO MIXTO MONJA BLANCA,"DIAGONAL 3 14-11, ZONA 2",7951-3896,PATRICIO NAJARRO ASENCIO,EDWIN ARMANDO CATÚN CAAL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,21a929451734
16-01-0920-45,16-031,ALTA VERAPAZ,COBAN,"ISEA ""LA ESCUELA EN SU CASA""","1A. AVENIDA 4-24, ZONA 2",7725-6954,PATRICIO NAJARRO ASENCIO,LUDWING JOEL NORIEGA MORALES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,d0dca2da000a
16-01-0921-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,"3A. AVENIDA 5-12, ZONA 4",3385-7209,PATRICIO NAJARRO ASENCIO,SILVIA YOLANDA CAAL QUIM,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,5601d23e1e8d
16-01-0928-45,16-005,ALTA VERAPAZ,COBAN,INEB,2A. CALLE 1-99 ZONA 4,3362-2052,NORA LILIANA FIGUEROA HERNÁNDEZ,SELVIN EDDER HERNÁNDEZ MOLINA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,1eaecdc62574
16-01-0929-45,16-005,ALTA VERAPAZ,COBAN,INEB,2A. CALLE 1-99 ZONA 4,3362-2052,NORA LILIANA FIGUEROA HERNÁNDEZ,SELVIN EDDER HERNÁNDEZ MOLINA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,1eaecdc62574
16-01-0983-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO FUTURO VIVO,ALDEA SAMAC,3481-4815,PATRICIO NAJARRO ASENCIO,AURA EUNICE SOTO FONSECA,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,9ed7ee8ea1a9
16-01-0984-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO MIXTO LA EXCELENCIA,"2A. CALLE 8-18 ZONA 4, COBAN",4111-4848,PATRICIO NAJARRO ASENCIO,ZULY BEATRIZ LÓPEZ WINTER,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,5e27d580363d
16-01-0985-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO MIXTO LA EXCELENCIA,"2A. CALLE 8-18 ZONA 4, COBAN",4111-4848,PATRICIO NAJARRO ASENCIO,ZULY BEATRIZ LÓPEZ WINTER,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,5e27d580363d
16-01-0988-45,16-031,ALTA VERAPAZ,COBAN,"LICEO MIXTO PARTICULAR ""SAN BENITO""","9A. AVENIDA 4-55, ZONA 4",3705-8145,PATRICIO NAJARRO ASENCIO,HENRI MARCO ARTOLA TEYUL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,81f654debd7e
16-01-0989-45,16-031,ALTA VERAPAZ,COBAN,"LICEO MIXTO PARTICULAR ""SAN BENITO""","9A. AVENIDA 4-55, ZONA 4",3705-8145,PATRICIO NAJARRO ASENCIO,HENRI MARCO ARTOLA TEYUL,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ALTA VERAPAZ,81f654debd7e
