token,RURAL,URBANA,total,p_urbana
ESTANZUELAS,5,0,5,0.0
GLORIA,5,0,5,0.0
HORCONES,5,0,5,0.0
LAMPARA,5,0,5,0.0
PAJOQUES,5,0,5,0.0
PAJUIL,5,0,5,0.0
PASAJOC,5,0,5,0.0
PASO,5,0,5,0.0
PASTORIA,5,0,5,0.0
PINALITO,5,0,5,0.0
POXLAJUJ,5,0,5,0.0
PUENTE,5,0,5,0.0
PUNTA,5,0,5,0.0
REFINERIA,5,0,5,0.0
RETALTECO,5,0,5,0.0
RICO,5,0,5,0.0
SEPUR,5,0,5,0.0
SIERRA,5,0,5,0.0
SOSI,5,0,5,0.0
TARROS,5,0,5,0.0
TOJOCHAN,5,0,5,0.0
TRINIDAD,5,0,5,0.0
TUILELEN,5,0,5,0.0
VEGAS,5,0,5,0.0
XEABAJ,5,0,5,0.0
XEPON,5,0,5,0.0
