CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,razon
16-01-0139-45,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
16-01-0409-45,ALTA VERAPAZ,COBAN,INEB,EL ESFUERZO I,RURAL,OFICIAL,SIN_TOKENS
16-01-0455-45,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,LOTIFICACION GUALOM SA XYANQTZUUL,RURAL,OFICIAL,SIN_TOKENS
16-01-1010-45,ALTA VERAPAZ,COBAN,AMI INTERNATIONAL SCHOOL,KM. 222.3 ALDEA SIGUANHÁ,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
16-01-8485-45,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,LOTIFICACIÓN CHAJCHUCUB,RURAL,OFICIAL,SIN_TOKENS
16-04-8338-45,ALTA VERAPAZ,TACTIC,COLEGIO PRIVADO MIXTO LA ENSEÑANZA,12 AVENIDA A 4-30 ZONA 3,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
16-05-0015-45,ALTA VERAPAZ,TAMAHU,INEB,JOSE JUAQUIN PALMA,RURAL,OFICIAL,SIN_TOKENS
16-06-0094-45,ALTA VERAPAZ,SAN MIGUEL TUCURU,INSTITUTO NACIONAL DE EDUCACIÓN BASICA TELESECUNDARIA,SEPILAPEC BELLA VISTA,RURAL,OFICIAL,SIN_TOKENS
16-07-0115-45,ALTA VERAPAZ,PANZOS,INEB,BARRIO EL CENTRO,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
16-07-0251-45,ALTA VERAPAZ,PANZOS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,COLONIA SANTA ISABEL,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-08-0138-45,ALTA VERAPAZ,SENAHU,INEB DE TELESECUNDARIA,COOPERATIVA CHIREAJ,RURAL,OFICIAL,SIN_TOKENS
16-08-0228-45,ALTA VERAPAZ,SENAHU,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA,COLONIA BELLA VISTA SESOCH,RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
16-09-0826-45,ALTA VERAPAZ,SAN PEDRO CARCHA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DE TELESECUNDARIA,SEHUBUB CHIQUIXJI,RURAL,OFICIAL,SIN_TOKENS
16-10-0073-45,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO GUATEMALTECO VERAPACENSE,BARRRIO RESURRECCIÓN,URBANA,PRIVADO,SIN_TOKENS
16-10-0804-45,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO DE EDUCACION BASICA POR EL SISTEMA DE COOPERATIVA DE ENSEÑANZA,FINCA MUNICIPAL SESIBCHE,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
16-11-0022-45,ALTA VERAPAZ,LANQUIN,INEB,BARRIO SAN NICOLAS,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
16-12-0196-45,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO MIXTO PARTICULAR RICARDO ARJONA,BARRIO SAN JUAN 02,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-13-0221-45,ALTA VERAPAZ,CHISEC,COLEGIO CRISTIANO GALILEA,PARCELA 1 COMUNIDAD SAN SIMON II,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
16-13-0268-45,ALTA VERAPAZ,CHISEC,CENTRO DE EDUCACIÓN EXTRAESCOLAR,CHISEC,RURAL,OFICIAL,LONGITUD_INSUFICIENTE
16-14-1219-45,ALTA VERAPAZ,CHAHAL,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA,BARRIO SANTO DOMINGO,RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
16-14-2278-45,ALTA VERAPAZ,CHAHAL,INSTITUTO TECNICO VOCACIONAL SAN AGUSTIN,ALDEA SAN AGUSTIN CHAHAL VIEJO,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
16-15-1428-45,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,COLEGIO PARTICULAR MIXTO BAUTISTA,ALDEA EL NARANJAL,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
16-17-0068-45,ALTA VERAPAZ,RAXRUHA,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA,BARRIO SANTA MARIA,RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
16-01-0139-46,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
16-01-0609-46,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,LOTIFICACION CHIVENCORRAL,URBANA,PRIVADO,SIN_TOKENS
16-01-0612-46,ALTA VERAPAZ,COBAN,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,"CALZADA RABIN AJAU, ZONA 1",RURAL,PRIVADO,RURAL_CON_ZONA_NUM
16-01-0705-46,ALTA VERAPAZ,COBAN,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,7A. AV. 2-18 D ZONA 1,RURAL,OFICIAL,RURAL_CON_ZONA_NUM
16-01-0997-46,ALTA VERAPAZ,COBAN,CENTRO EDUCATIVO BETANIA,SAN BENITO I,RURAL,PRIVADO,SIN_TOKENS
16-01-9897-46,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM.209.5 ENTRADA A COBAN,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
16-02-0013-46,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SANTA ELENA,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
16-03-0036-46,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO CHIYUC,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
16-03-0158-46,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,COLONIA PANTOCÁN,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-04-0062-46,ALTA VERAPAZ,TACTIC,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CANTON CHIJACORRAL,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
16-04-8322-46,ALTA VERAPAZ,TACTIC,COLEGIO PRIVADO MIXTO LA ENSEÑANZA,12 AV. 4-30 ZONA 3,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
16-05-0017-46,ALTA VERAPAZ,TAMAHU,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,TAMAHU,URBANA,OFICIAL,LONGITUD_INSUFICIENTE
16-06-2398-46,ALTA VERAPAZ,SAN MIGUEL TUCURU,INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR,CANTON LA PLAYA,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
16-07-0117-46,ALTA VERAPAZ,PANZOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SAN JUAN,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
16-07-0194-46,ALTA VERAPAZ,PANZOS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,BARRIO SAN SEBASTIAN,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-07-0195-46,ALTA VERAPAZ,PANZOS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,BARRIO SAN SEBASTIAN,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-07-0211-46,ALTA VERAPAZ,PANZOS,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,"BARRIO LA ESCUELA, TELEMAN",RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-07-0252-46,ALTA VERAPAZ,PANZOS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,COLONIA SANTA ISABEL,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-07-0253-46,ALTA VERAPAZ,PANZOS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,COLONIA SANTA ISABEL,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-07-0255-46,ALTA VERAPAZ,PANZOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA TELEMAN,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
16-07-9096-46,ALTA VERAPAZ,PANZOS,COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO,BARRIO SAN SEBASTIAN,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
16-08-0204-46,ALTA VERAPAZ,SENAHU,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,COOPERATIVA CHIREAJ,RURAL,OFICIAL,SIN_TOKENS
16-08-0205-46,ALTA VERAPAZ,SENAHU,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,COOPERATIVA SANTA MARIA SAN MARCOS,RURAL,OFICIAL,SIN_TOKENS
16-08-0206-46,ALTA VERAPAZ,SENAHU,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,COOPERATIVA ACTELA,RURAL,OFICIAL,SIN_TOKENS
16-08-0209-46,ALTA VERAPAZ,SENAHU,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,COOPERATIVA SEMARAC I,RURAL,OFICIAL,SIN_TOKENS
16-09-0848-46,ALTA VERAPAZ,SAN PEDRO CARCHA,CENTRO DE EDUCACIÓN EXTRAESCOLAR,SAN PEDRO CARCHA,URBANA,OFICIAL,SIN_TOKENS
16-09-0855-46,ALTA VERAPAZ,SAN PEDRO CARCHA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,"6TA. CALLE 3ERA. AVENIDA, ZONA 2",RURAL,PRIVADO,RURAL_CON_ZONA_NUM
16-10-1400-46,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO TECNICO EN RECURSOS NATURALES,FINCA MUNICIPAL CHIPAR,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
16-11-9092-46,ALTA VERAPAZ,LANQUIN,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE,CABECERA,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
16-12-0125-46,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO CENTRO,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
16-12-0203-46,ALTA VERAPAZ,SANTA MARIA CAHABON,CENTRO DE EDUCACIÓN EXTRAESCOLAR,SANTA MARIA CAHABON,RURAL,OFICIAL,SIN_TOKENS
16-12-0272-46,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA BELÉN,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
16-13-0267-46,ALTA VERAPAZ,CHISEC,CENTRO DE EDUCACIÓN EXTRAESCOLAR,CHISEC,RURAL,OFICIAL,LONGITUD_INSUFICIENTE
16-14-1719-46,ALTA VERAPAZ,CHAHAL,INSTITUTO TECNICO VOCACIONAL SAN AGUSTIN,ALDEA SAN AGUSTIN CHAHAL VIEJO,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
16-16-0072-46,ALTA VERAPAZ,LA TINTA,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,"BARRIO EL CALVARIO, ZONA 5",RURAL,PRIVADO,RURAL_CON_ZONA_NUM
16-16-0140-46,ALTA VERAPAZ,LA TINTA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,"BARRIO EL HOSPITAL, ZONA 1",RURAL,OFICIAL,RURAL_CON_ZONA_NUM
16-17-0143-46,ALTA VERAPAZ,RAXRUHA,CENTRO DE EDUCACIÓN EXTRAESCOLAR,RAXRUHÁ,URBANA,OFICIAL,LONGITUD_INSUFICIENTE
15-02-0050-45,BAJA VERAPAZ,SAN MIGUEL CHICAJ,INEB,CANTON SAN JUAN,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
15-02-0051-45,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PRIVADO MIXTO NAZARENO,CANTON LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-02-0060-45,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-02-0093-45,BAJA VERAPAZ,SAN MIGUEL CHICAJ,IEBC DE ENSEÑANZA,CANTON SAN JUAN,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
15-02-0105-45,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-02-0134-45,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-02-0139-45,BAJA VERAPAZ,SAN MIGUEL CHICAJ,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,CANTÓN SAN JUAN,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-05-1941-45,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
15-02-0058-46,BAJA VERAPAZ,SAN MIGUEL CHICAJ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CANTON SAN JUAN,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
15-02-0059-46,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-02-0107-46,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-02-0131-46,BAJA VERAPAZ,SAN MIGUEL CHICAJ,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CANTÓN SAN JUAN,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-02-0135-46,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
15-05-0037-46,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
15-05-0047-46,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
15-05-1942-46,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
15-05-2153-46,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
15-06-1265-46,BAJA VERAPAZ,SANTA CRUZ EL CHOL,COLEGIO PARTICULAR MIXTO VALLE DEL URRAM,SANTA CRUZ EL CHOL,URBANA,PRIVADO,SIN_TOKENS
00-01-0154-45,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACION BASICA O DE CULTURA GENERAL MARIA LUISA SAMAYOA LANUZA,10A AVE. 9-42,URBANA,OFICIAL,SIN_TOKENS
00-01-0156-45,CIUDAD CAPITAL,ZONA 1,"INEB JN, ""PEDRO ARRIAZA MATA""",10A AVE. 12-01,URBANA,OFICIAL,SIN_TOKENS
00-01-0157-45,CIUDAD CAPITAL,ZONA 1,IPSB VIRGEN PODEROSA CASA CENTRAL,2A AVE. 13-12,URBANA,PRIVADO,SIN_TOKENS
00-01-0161-45,CIUDAD CAPITAL,ZONA 1,IPMB COLEGIO LOYOLA,12 AVE. 4-30,URBANA,PRIVADO,SIN_TOKENS
00-01-0208-45,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA ADSCRITO AL INSTITUTO NORMAL MIXTO NOCTURNO,9A AVE. 9-27,URBANA,OFICIAL,SIN_TOKENS
00-01-0220-45,CIUDAD CAPITAL,ZONA 1,IPSB 'LICEO FRANCES',5A AVE. 9-80,URBANA,PRIVADO,SIN_TOKENS
00-01-0251-45,CIUDAD CAPITAL,ZONA 1,LICEO MERCANTIL,12 AVE. 12-31,URBANA,PRIVADO,SIN_TOKENS
00-01-0254-45,CIUDAD CAPITAL,ZONA 1,"IPMB COLEGIO MIXTO ""INDO LATINO""",4A AVE. 13-35,URBANA,PRIVADO,SIN_TOKENS
00-01-0511-45,CIUDAD CAPITAL,ZONA 1,CENTRO EDUCATIVO FUTURISTA -C.E.F.-,13 AVENIDA 4-60 ZONA 1,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
00-01-0518-45,CIUDAD CAPITAL,ZONA 1,"""LICEO MONTE SINAÍ",3A. AVE. 7-34,URBANA,PRIVADO,SIN_TOKENS
00-01-0519-45,CIUDAD CAPITAL,ZONA 1,"""LICEO MONTE SINAÍ""",3A. AVE. 7-34,URBANA,PRIVADO,SIN_TOKENS
00-01-0523-45,CIUDAD CAPITAL,ZONA 1,"""LICEO MONTE SINAÍ""",3A. AVE. 7-34,URBANA,PRIVADO,SIN_TOKENS
00-01-0536-45,CIUDAD CAPITAL,ZONA 1,INEB JN ADSCRITO A EOPA NO. 26 JOSÉ JOAQUÍN PARDO,3A. AVE. C 24-24,URBANA,OFICIAL,SIN_TOKENS
00-01-7244-45,CIUDAD CAPITAL,ZONA 1,LICEO PROFESIONAL DE COMPUTACION Y CIENCIAS COMERCIALES,2A. AVE. 10-69,URBANA,PRIVADO,SIN_TOKENS
00-02-0093-45,CIUDAD CAPITAL,ZONA 2,"COLEGIO EVANGÉLICO MIXTO ""LA PATRIA""",7A. AVE. 7-38,URBANA,PRIVADO,SIN_TOKENS
00-02-0307-45,CIUDAD CAPITAL,ZONA 2,INSTITUTO NACIONAL MIXTO DE EDUCACIÓN BÁSICA ADRIÁN ZAPATA,12 AVE. B 8-03,URBANA,OFICIAL,SIN_TOKENS
00-02-0309-45,CIUDAD CAPITAL,ZONA 2,"INSTITUTO NACIONAL MIXTO DE EDUCACION BASICA ""ADRIAN ZAPATA""",12 AVE. B 8-03,URBANA,OFICIAL,SIN_TOKENS
00-02-0310-45,CIUDAD CAPITAL,ZONA 2,"COLEGIO EVANGÉLICO MIXTO ""LA PATRIA""",7A AVE. 7-38,URBANA,PRIVADO,SIN_TOKENS
00-02-0318-45,CIUDAD CAPITAL,ZONA 2,INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA CENTRO DE ESTUDIOS DIVERSIFICADOS ( C.E.D.),3A AVE. 9-00 INTERIOR FINCA EL ZAPOTE,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
00-02-7735-45,CIUDAD CAPITAL,ZONA 2,COLEGIO MIXTO BILINGUE NUEVO AMANECER,13 AVE. 10-20 CIUDAD NUEVA,URBANA,PRIVADO,SIN_TOKENS
00-03-0358-45,CIUDAD CAPITAL,ZONA 3,INEB NOCTURNO DE LA ZONA 3,6A AVE. 27-36,URBANA,OFICIAL,SIN_TOKENS
00-03-0359-45,CIUDAD CAPITAL,ZONA 3,"COLEGIO ""JUNKABAL""",6A AVE. 31-29,URBANA,PRIVADO,SIN_TOKENS
00-03-0360-45,CIUDAD CAPITAL,ZONA 3,IPMB COLEGIO EVANGELICO MIXTO 'FRANCISCO G. PENZOTTI',4A AVE. 31-49,URBANA,PRIVADO,SIN_TOKENS
00-03-0362-45,CIUDAD CAPITAL,ZONA 3,IPMB COLEGIO BAUTISTA BETHEL,5A AVE. 13-38,URBANA,PRIVADO,SIN_TOKENS
00-03-0363-45,CIUDAD CAPITAL,ZONA 3,INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA COLEGIO 'ECUATORIANO',2A AVE. 21-58,URBANA,PRIVADO,SIN_TOKENS
00-04-0002-45,CIUDAD CAPITAL,ZONA 4,INSTITUTO GUATEMALTECO AMERICANO -IGA-,"RUTA 1, 4-05",URBANA,PRIVADO,SIN_TOKENS
00-05-0448-45,CIUDAD CAPITAL,ZONA 5,CENTRO DE USOS MULTIPLES DR. CARLOS GONZALEZ ORELLANA,28 AVE. A 33-04,URBANA,OFICIAL,SIN_TOKENS
00-05-0457-45,CIUDAD CAPITAL,ZONA 5,ESCUELA PROFESIONAL SAN VICENTE DE PAUL,17 AVE. 31-00,URBANA,PRIVADO,SIN_TOKENS
00-05-2214-45,CIUDAD CAPITAL,ZONA 5,LICEO GUATEMALA,10A AVE. 33-03,URBANA,PRIVADO,SIN_TOKENS
00-06-0522-45,CIUDAD CAPITAL,ZONA 6,"COLEGIO PRIVADO ""TERESA DE AVILA""",15 AVE. 5-45,URBANA,PRIVADO,SIN_TOKENS
00-06-0524-45,CIUDAD CAPITAL,ZONA 6,"COLEGIO PRIVADO MIXTO ""CENTRO AMÉRICA """,16 AVE. 19-52 PROYECTO 4-4,URBANA,PRIVADO,SIN_TOKENS
00-07-0005-45,CIUDAD CAPITAL,ZONA 7,INEB,"COLONIA EL GRANIZO ""B""",RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
00-07-0006-45,CIUDAD CAPITAL,ZONA 7,INEB,COLONIA EL ESFUERZO,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
00-07-0119-45,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO EN COMPUTACIÓN ROTTERDAM,"CARRIL AUXILIAR ANILLO PERIFERICO 14-12, CIUDAD DE PLATA II",URBANA,PRIVADO,SIN_TOKENS
00-07-0656-45,CIUDAD CAPITAL,ZONA 7,INSTITUTO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS,4A AVE. 0-28,URBANA,PRIVADO,SIN_TOKENS
00-09-0693-45,CIUDAD CAPITAL,ZONA 9,"INSTITUTO "" MARIA AUXILIADORA """,5A AVE. 6-12,URBANA,PRIVADO,SIN_TOKENS
00-09-7853-45,CIUDAD CAPITAL,ZONA 9,COLEGIO GIBBS,7AV. 3-50,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
00-10-0760-45,CIUDAD CAPITAL,ZONA 10,IPVB COLEGIO AMIGO DE LOS NIÑOS 'MI CASA',6A AVE. 13-05,URBANA,PRIVADO,SIN_TOKENS
00-10-0775-45,CIUDAD CAPITAL,ZONA 10,MONTANO COLLEGE,6A AVE. 11-39,URBANA,PRIVADO,SIN_TOKENS
00-11-0840-45,CIUDAD CAPITAL,ZONA 11,INEB JUAN DIEGUEZ OLAVERRI,8A AVE. 25-40,URBANA,OFICIAL,SIN_TOKENS
00-11-0845-45,CIUDAD CAPITAL,ZONA 11,COLEGIO EDUCATIVO DE FORMACION INTEGRAL C.E.F.I,15 AVE. B 11-22,URBANA,PRIVADO,SIN_TOKENS
00-11-0854-45,CIUDAD CAPITAL,ZONA 11,COLEGIO ALEMAN DE GUATEMALA,"DIAGONAL 21, 19-20",URBANA,PRIVADO,SIN_TOKENS
00-11-0861-45,CIUDAD CAPITAL,ZONA 11,IPMB LICEO EMILIO ARENALES CATALAN,2A AVE. 4-21,URBANA,PRIVADO,SIN_TOKENS
00-12-0105-45,CIUDAD CAPITAL,ZONA 12,COORDINACION DEPARTAMENTAL DE TELESECUNDARIA GUATEMALA SUR,"AVENIDA PETAPA 47-79, ZONA 12, PLAZA GRECIA",RURAL,OFICIAL,RURAL_CON_ZONA_NUM
00-12-0134-45,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANÓNIMA,DIAGONAL 19 40-54,URBANA,PRIVADO,SIN_TOKENS
00-12-0144-45,CIUDAD CAPITAL,ZONA 12,"INEB INSTITUTO NACIONAL DE EDUCACION BASICA Y BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ ""LICDA. MATILDE ROUGE""",BOULEVARD LIBERACION 13-19,URBANA,OFICIAL,SIN_TOKENS
00-12-0146-45,CIUDAD CAPITAL,ZONA 12,"INSTITUTO NACIONAL DE EDUCACION BASICA Y BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ ""LICDA. MATILDE ROUGE""",BOULEVARD LIBERACION 13-19,URBANA,OFICIAL,SIN_TOKENS
00-12-7081-45,CIUDAD CAPITAL,ZONA 12,LICEO MIXTO CRISTIANO 'PIAGET',2 AVE. 4-60 CIUDAD REAL 1,URBANA,PRIVADO,SIN_TOKENS
00-13-0007-45,CIUDAD CAPITAL,ZONA 13,"INEB ""RABINDRANATH TAGORE""","6A. AVENIDA ""B"" 17-36",RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
00-13-0940-45,CIUDAD CAPITAL,ZONA 13,INSTITUTO ADOLFO V. HALL CENTRAL,7A AVE. FINCA LA AURORA GUATEMALA,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
00-13-0943-45,CIUDAD CAPITAL,ZONA 13,INSTITUTO EVANGELICO AMERICA LATINA (CURSOS DE EXTENSION),3A AVE. 1-44 (PAMPLONA),URBANA,PRIVADO,SIN_TOKENS
00-15-0985-45,CIUDAD CAPITAL,ZONA 15,COLEGIO BILINGUE VISTA HERMOSA,15 AVE. 5-50 VISTA HERMOSA III,URBANA,PRIVADO,SIN_TOKENS
00-15-0987-45,CIUDAD CAPITAL,ZONA 15,COLEGIO VALLE VERDE,15 AVE. 3-80,URBANA,PRIVADO,SIN_TOKENS
00-16-0999-45,CIUDAD CAPITAL,ZONA 16,INSTITUTO AUSTRIACO GUATEMALTECO,BOULEVARD AUSTRIACO 23-90,URBANA,PRIVADO,SIN_TOKENS
00-16-9536-45,CIUDAD CAPITAL,ZONA 16,COLEGIO VIENA GUATEMALTECO,BOULEVARD AUSTRIACO 23-90,URBANA,PRIVADO,SIN_TOKENS
00-16-9550-45,CIUDAD CAPITAL,ZONA 16,COLEGIO LOS ANGELES,FINCA EL PULTE SANTA ROSITA,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
00-18-0181-45,CIUDAD CAPITAL,ZONA 18,"LICEO PREUNIVERSITARIO ""DR. NELSON MANDELA""",CA-9 NORTE (RUTA ATLNTICO) 34-05,URBANA,PRIVADO,SIN_TOKENS
00-19-0004-45,CIUDAD CAPITAL,ZONA 19,INEB,COLONIA FLORIDA,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
00-25-0012-45,CIUDAD CAPITAL,ZONA 25,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DE TELESECUNDARIA LA CEBADILLA,"19 AVENIDA 42-50, COLONIA LA CEBADILLA",RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
