CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,razon
01-16-0182-46,GUATEMALA,VILLA CANALES,"COLEGIO MIXTO ""SANTA ELENA DEL SUR""",6A. AVENIDA 3-29 ZONA 1 SANTA ELENA BARILLAS,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
01-16-4197-46,GUATEMALA,VILLA CANALES,LICEO PROFESIONAL DE COMPUTACION 'MANUEL GALICH',"2A. CALLE 3-61 ZONA 1, BOCA DEL MONTE",RURAL,PRIVADO,RURAL_CON_ZONA_NUM
01-16-6794-46,GUATEMALA,VILLA CANALES,COLEGIO INTEGRAL CANALEÑO DR. JUAN JOSE AREVALO BERMEJO,3A. AVE. 2-09 VILLA CANALES,URBANA,PRIVADO,SIN_TOKENS
01-16-8866-46,GUATEMALA,VILLA CANALES,LICEO CENTROAMERICANO BOCA DEL MONTE,1A. CALLE 2-60 ZONA 1 BOCA DEL MONTE,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
01-16-8871-46,GUATEMALA,VILLA CANALES,LICEO CENTROAMERICANO BOCA DEL MONTE,1A. CALLE 2-60 ZONA 1 BOCA DEL MONTE,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
01-16-8872-46,GUATEMALA,VILLA CANALES,LICEO CENTROAMERICANO BOCA DEL MONTE,1A. CALLE 2-60 ZONA 1 BOCA DEL MONTE,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
01-16-9001-46,GUATEMALA,VILLA CANALES,LICEO MIXTO QUIRIGUA,"CASA 5-I, COLONIA PANORAMA DEL VALLE",RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
01-17-0113-46,GUATEMALA,SAN MIGUEL PETAPA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE VILLA HERMOSA,"25 AVENIDA, 25-97, VILLA HERMOSA II",RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
01-17-0125-46,GUATEMALA,SAN MIGUEL PETAPA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE VILLA HERMOSA,"25 AVENIDA, 25-97, VILLA HERMOSA II",RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
13-01-0072-45,HUEHUETENANGO,HUEHUETENANGO,LICEO Y ACADEMIA ADVENTISTA 'DIEGUEZ OLAVERRI',EL TERRERO ZONA 4,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
13-01-0155-45,HUEHUETENANGO,HUEHUETENANGO,COLEGIO SAN FRANCISCO JAVIER DE HUEHUETENANGO,CORRAL CHIQUITO ZONA 8,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
13-01-0173-45,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,CABECERA DEPARTAMENTAL,URBANA,PRIVADO,SIN_TOKENS
13-01-0174-45,HUEHUETENANGO,HUEHUETENANGO,LICEO CRISTIANO MIXTO TIERRA FERTIL,CABECERA DEPARTAMENTAL,URBANA,PRIVADO,SIN_TOKENS
13-01-0267-45,HUEHUETENANGO,HUEHUETENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX EN SU MODALIDAD SEMIPRESENCIAL,CHIMUSINIQUE ZONA 12,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
13-01-0299-45,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA,LAS LAGUNAS ZONA 10,RURAL,OFICIAL,RURAL_CON_ZONA_NUM
13-01-0351-45,HUEHUETENANGO,HUEHUETENANGO,COORDINACIÓN DEPARTAMENTAL DE TELESECUNDARIA,CABECERA MUNICIPAL,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
13-01-0380-45,HUEHUETENANGO,HUEHUETENANGO,COLEGIO EVANGÉLICO MIXTO FILADELFIA,SEGUNDO CARRIZAL ZONA 3,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
13-01-0410-45,HUEHUETENANGO,HUEHUETENANGO,"LICEO CRISTIANO ""NUEVOS HORIZONTES""",CABECERA DEPARTAMENTAL,URBANA,PRIVADO,SIN_TOKENS
13-03-7094-45,HUEHUETENANGO,MALACATANCITO,COLEGIO MIXTO INTERCULTURAL MALACATANCITO,NAN,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
13-04-0072-45,HUEHUETENANGO,CUILCO,COLEGIO INTEGRAL EMPRESARIAL CUILQUENSE POR MADUREZ,CUILCO,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
13-04-6730-45,HUEHUETENANGO,CUILCO,COLEGIO PRIVADO MIXTO 'PERLA ESCONDIDA',CUILCO,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
13-05-0034-45,HUEHUETENANGO,NENTON,COLEGIO PRIVADO MIXTO NENTONENSE,NENTON,URBANA,PRIVADO,LONGITUD_INSUFICIENTE
13-05-4946-45,HUEHUETENANGO,NENTON,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,"COLONIA NUEVA ESPERANZA, CHACULA",RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
13-05-6733-45,HUEHUETENANGO,NENTON,COLEGIO EVANGELICO MIXTO LA VID VERDADERA,MUNICIPIO DE NENTON,URBANA,PRIVADO,SIN_TOKENS
13-06-0382-45,HUEHUETENANGO,SAN PEDRO NECTA,INEB CON ORIENTACION AGRICOLA,CANTÓN EL LLANO,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-07-0002-45,HUEHUETENANGO,JACALTENANGO,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,BARRIO SSAT MAJTE,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
13-07-0017-45,HUEHUETENANGO,JACALTENANGO,INEB,CANTÓN PARROQUIA,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-07-0022-45,HUEHUETENANGO,JACALTENANGO,INEB DE TELESECUNDARIA,BARRIO KULUS SAJILAJ,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
13-07-0073-45,HUEHUETENANGO,JACALTENANGO,"LICEO MIXTO PRIVADO ""CAMPOSECO""",CANTÓN EL LLANO,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-07-0434-45,HUEHUETENANGO,JACALTENANGO,IEBC JACALTENANGO,CANTON PARROQUIA,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
13-07-1627-45,HUEHUETENANGO,JACALTENANGO,ESCUELA DE FORMACION AGRICOLA DE JACALTENANGO,CANTON SAN SEBASTIAN,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-07-7040-45,HUEHUETENANGO,JACALTENANGO,LICEO MIXTO PRIVADO CAMPOSECO,CANTON LLANO,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-08-0500-45,HUEHUETENANGO,SAN PEDRO SOLOMA,INEB BERNARDO ALVARADO TELLO,SAN PEDRO SOLOMA,URBANA,OFICIAL,SIN_TOKENS
13-08-6873-45,HUEHUETENANGO,SAN PEDRO SOLOMA,"COLEGIO PARROQUIAL ""SAN PEDRO""",SAN PEDRO SOLOMA,URBANA,PRIVADO,SIN_TOKENS
13-11-6290-45,HUEHUETENANGO,LA LIBERTAD,COLEGIO EVANGELICO MIXTO 'ALFA Y OMEGA',LA LIBERTAD,URBANA,PRIVADO,SIN_TOKENS
13-12-0087-45,HUEHUETENANGO,LA DEMOCRACIA,"COLEGIO EVANGELICO MIXTO ""NAZARET""",LA DEMOCRACIA,URBANA,PRIVADO,SIN_TOKENS
13-12-0638-45,HUEHUETENANGO,LA DEMOCRACIA,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA,LA DEMOCRACIA,URBANA,OFICIAL,SIN_TOKENS
13-13-0031-45,HUEHUETENANGO,SAN MIGUEL ACATAN,"COLEGIO PARROQUIAL ""DIANA ORTIZ""",SAN MIGUEL ACATAN,URBANA,PRIVADO,SIN_TOKENS
13-15-0033-45,HUEHUETENANGO,TODOS SANTOS CUCHUMATAN,INEB,CANTÓN LA NUEVA COMUNIDAD,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-15-0058-45,HUEHUETENANGO,TODOS SANTOS CUCHUMATAN,LICEO PRIVADO SEÑOR SAN MARTÍN,ALDEA SAN MARTÍN,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-15-0763-45,HUEHUETENANGO,TODOS SANTOS CUCHUMATAN,IEBC INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA POR COOPERATIVA,TODOS SANTOS CUCHUMATÁN,URBANA,COOPERATIVA,SIN_TOKENS
13-16-6094-45,HUEHUETENANGO,SAN JUAN ATITAN,IEBC DE ENSEÑANZA,SAN JUAN ATITAN,URBANA,COOPERATIVA,SIN_TOKENS
13-17-0025-45,HUEHUETENANGO,SANTA EULALIA,INEB,CANTÓN VISTA HERMOSA,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-17-0081-45,HUEHUETENANGO,SANTA EULALIA,"COLEGIO PRIVADO MIXTO ""CIENCIAS MODERNAS""",CBECERA MUNICIPAL,URBANA,PRIVADO,SIN_TOKENS
13-17-0858-45,HUEHUETENANGO,SANTA EULALIA,IEBC SANTA EULALIA,CANTON VISTA HERMOSA,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
13-17-6929-45,HUEHUETENANGO,SANTA EULALIA,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED,CANTÓN VISTA HERMOSA,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-18-0912-45,HUEHUETENANGO,SAN MATEO IXTATAN,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,SAN MATEO IXTATÁN,URBANA,COOPERATIVA,SIN_TOKENS
13-18-6919-45,HUEHUETENANGO,SAN MATEO IXTATAN,INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA YINHATIL NAB´EN (SEMILLA DE LA SABIDURÍA),CANTÓN CHAKCHAKK´EN 02/01/2014,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
13-19-6736-45,HUEHUETENANGO,COLOTENANGO,INSTITUTO MIXTO DE EDUCACIÓN BÁSICA MAYA MAM K`ULB` IL NAB IL,CASERÍO LA CRUZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-20-0025-45,HUEHUETENANGO,SAN SEBASTIAN HUEHUETENANGO,INEB,CABECERA MUNICIPAL,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
13-20-0976-45,HUEHUETENANGO,SAN SEBASTIAN HUEHUETENANGO,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,SAN SEBASTIÁN HUEHUETENANGO,URBANA,COOPERATIVA,SIN_TOKENS
13-22-4895-45,HUEHUETENANGO,CONCEPCION HUISTA,CENTRO EDUCATIVO COMUNITARIO DEL CICLO BASICO,CANTON MENDEZ,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-24-0020-45,HUEHUETENANGO,SAN ANTONIO HUISTA,INSTITUTO NORMAL PRIVADO JUAN JOSE AREVALO BERMEJO,CANTON REFORMA,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-24-0040-45,HUEHUETENANGO,SAN ANTONIO HUISTA,COLEGIO CRISTIANO BETHEL,CANTÓN RECREO,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-24-1077-45,HUEHUETENANGO,SAN ANTONIO HUISTA,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA, JORNADA MATUTINA",CANTÓN REFORMA,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-25-0018-45,HUEHUETENANGO,SAN SEBASTIAN COATAN,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA,CASERÍO MECLOL ALDEA QUIQUILUM,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-25-0070-45,HUEHUETENANGO,SAN SEBASTIAN COATAN,COLEGIO EVANGÉLICO PRIVADO MIXTO GETSEMANÍ,SAN JOSÉ PUEBLO NUEVO JUCUP,RURAL,PRIVADO,SIN_TOKENS
13-25-5513-45,HUEHUETENANGO,SAN SEBASTIAN COATAN,INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,CASERÍO YIBANSUL,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
13-26-7115-45,HUEHUETENANGO,SANTA CRUZ BARILLAS,COLEGIO PRIVADO MIXTO SANTA MARTA VILLA SEÑOR,VILLA DE BARILLAS,URBANA,PRIVADO,SIN_TOKENS
13-28-1508-45,HUEHUETENANGO,SAN RAFAEL PETZAL,IEBC DE ENSEÑANZA,NAN,URBANA,COOPERATIVA,LONGITUD_INSUFICIENTE
13-30-5927-45,HUEHUETENANGO,SANTIAGO CHIMALTENANGO,INEB DE TELESECUNDARIA,CANTON LAS PIEDRAS,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-31-1395-45,HUEHUETENANGO,SANTA ANA HUISTA,IEBC DE ENSEÑANZA,CANTON SAN JOSE,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
